id;start_date;updated_date;survey_id;email;status;device_type;contact_id;contact_list_id;promotion_code;1_¿Cuál es el principal objetivo de su visita al BOAM?;1_¿Cuál es el principal objetivo de su visita al BOAM?_Otro;2_¿Ha conseguido cumplir su objetivo?;3_¿Con qué frecuencia consulta el Boletín Oficial del Ayuntamiento de Madrid?;4_¿Con qué perfil se identifica usted más?;4_¿Con qué perfil se identifica usted más?_Otro;5_¿De qué forma mayoritaria realiza sus consultas del Boletín Oficial del Ayuntamiento?;6_¿Conoce el servicio de suscripción al Boletín Oficial del Ayuntamiento de Madrid?;7_Indique su grado de satisfacción general con el Boletín Oficial del Ayuntamiento de Madrid;8_Le agradecemos cualquier comentario que nos ayude a mejorar;9_¿Cuál es su sexo?;10_¿A qué grupo de edad pertenece?
44210670;23/05/2024 15:32;23/05/2024 15:32;359511;;Parcial;Mobile;;;;Buscar todas las disposiciones publicadas sobre un tema o asunto concreto.;;;;;;;;;;;
44213129;23/05/2024 20:06;23/05/2024 20:07;359511;;Completa;Mobile;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Soy un/a trabajador/a autónomo;;Desde un dispositivo móvil;Sí;8;;Mujer;Entre 18 y 40
44213953;23/05/2024 22:10;23/05/2024 22:10;359511;;Parcial;Desktop;;;;Consultar el BOAM de hoy;;Sí;;;;;;;;;
44217788;24/05/2024 7:17;24/05/2024 7:18;359511;;Completa;Desktop;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Trabajo en una Administración Pública;;Desde un PC;No;1;;Mujer;Entre 18 y 40
44217929;24/05/2024 8:27;24/05/2024 8:28;359511;;Completa;Desktop;;;;Consultar el BOAM de hoy;;Sí;Semanalmente;Trabajo en una Administración Pública;;Desde un PC;Sí;10;;Mujer;Entre 40 y 65
44253337;27/05/2024 6:31;27/05/2024 6:33;359511;;Completa;Mobile;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Trabajo por cuenta ajena;;Desde un PC;No;10;Es muy intuitivo;Mujer;Entre 40 y 65
44253967;27/05/2024 10:10;27/05/2024 10:15;359511;;Completa;Desktop;;;;Buscar todas las disposiciones publicadas sobre un tema o asunto concreto.;;No ;Ocasionalmente;Soy un/a trabajador/a autónomo;;Desde un PC;No;0;No entiendo porqué no notifican electrónicamente la aparicion en el boletín para subsanar cualquier incidencia en una tramitación de un expediente.;Hombre;Entre 18 y 40
44254665;27/05/2024 11:35;27/05/2024 11:36;359511;;Completa;Desktop;;;;Buscar todas las disposiciones publicadas sobre un tema o asunto concreto.;;Sí;Diariamente;Trabajo por cuenta ajena;;Desde un PC;No;10;;Mujer;Entre 40 y 65
44258871;27/05/2024 16:34;27/05/2024 16:42;359511;;Completa;Desktop;;;;Buscar todas las disposiciones publicadas sobre un tema o asunto concreto.;;No ;Ocasionalmente;Trabajo en una Administración Pública;;Desde un PC;Sí;4;"Tanto el buscador simple como el  buscador avanzado no sirve para nada, si pongo este texto ""Director General de Función Pública por la que se deniegan solicitudes de ayudas asistenciales"" en el campo ""buscar en el título"" me hace una búsqueda de la palabra ""publicó"" cuando en el texto indicado ni siquiera aparece esa palabra. He filtrado por fechas y tampoco hace bien la búsqueda.

Si busco por ""ayudas asistenciales"" tampoco hace la búsqueda de ese texto, busca la palabra ""ayudas"" sin incluir asistenciales. 

";Mujer;Entre 40 y 65
44272131;28/05/2024 11:00;28/05/2024 11:01;359511;;Completa;Desktop;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Trabajo en una Administración Pública;;Desde un PC;Sí;10;;Mujer;Entre 40 y 65
44272476;28/05/2024 11:48;28/05/2024 11:49;359511;;Completa;Desktop;;;;Buscar todas las disposiciones publicadas sobre un tema o asunto concreto.;;No ;Ocasionalmente;Trabajo por cuenta ajena;;Desde un PC;No;0;;Hombre; Más de 65
44319036;29/05/2024 9:29;29/05/2024 9:30;359511;;Completa;Desktop;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Trabajo en una Administración Pública;;Desde un PC;Sí;3;;Hombre;Entre 40 y 65
44320096;29/05/2024 11:59;29/05/2024 12:00;359511;;Completa;Desktop;;;;Consultar el BOAM de hoy;;Sí;;Trabajo en una Administración Pública;;Desde un dispositivo móvil;Sí;8;;Hombre;Entre 40 y 65
44322490;29/05/2024 17:11;29/05/2024 17:14;359511;;Completa;Desktop;;;;Consultar el BOAM de un día anterior;;No ;Ocasionalmente;Otro;;Desde un PC;No;;;Hombre; Más de 65
44338911;30/05/2024 8:29;30/05/2024 8:30;359511;;Completa;Desktop;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Trabajo por cuenta ajena;;Desde un PC;Sí;10;;Hombre;Entre 40 y 65
44339905;30/05/2024 12:24;30/05/2024 12:25;359511;;Parcial;Desktop;;;;Localizar una disposición concreta publicada hace tiempo.;;No ;;;;;;;;;
44356596;31/05/2024 13:59;31/05/2024 14:00;359511;;Completa;Mobile;;;;Buscar todas las disposiciones publicadas sobre un tema o asunto concreto.;;Sí;;Soy un/a trabajador/a autónomo;;Desde un dispositivo móvil;Sí;7;;Hombre;Entre 18 y 40
